Year,ICPSR_State_Code,Alphanumeric_State_Code,State,Turnout_Rates_VEP_Total_Ballots_Counted,Turnout_Rates_VEP_Highest_Office,Turnout_Rates_VAP_Highest_Office,Numerators_Total_Ballots_Counted,Numerators_Highest_Office,Denominators_Voting_Eligible_Population_VEP,Denominators_Voting_Age_Population_VAP_,Non_citizen,Prison,Probation,Parole,Total_Ineligible_Felon,Overseas_Eligible
2014,0,0,United States,36.7,36,33.2,83262122,81687059,227157964,245712915,8.4,1493706,2298993,548576,3329718,5345814
2014,41,1,Alabama,33.2,32.9,31.5,1191274,1180413,3588783,3751844,2.5,31691,53640,8097,69826,
2014,81,2,Alaska,54.8,54.2,51,285431,282382,520562,553473,3.9,5216,7077,2210,11389,
2014,61,3,Arizona,34.1,33.4,29.5,1537671,1506416,4510186,5110890,10.1,37516,73232,7502,86028,
2014,42,4,Arkansas,40.3,40.1,37.5,852642,848592,2117881,2263040,4,17756,28192,21743,55287,
2014,71,5,California,30.7,29.9,24.7,7513972,7317581,24440416,29646675,16.8,136088,0,87104,223192,
2014,62,6,Colorado,54.7,53.7,49.4,2080071,2041020,3800664,4128890,7.2,19121,0,10067,29188,
2014,1,7,Connecticut,42.5,42.3,38.5,1096556,1089880,2577311,2828791,8.2,16113,0,2564,18677,
2014,11,8,Delaware,34.9,34.3,31.8,238110,234038,681526,735156,5.1,6625,15665,676,16073,
2014,55,9,District of Columbia,35.7,35.3,32,177176,175071,495899,547228,9.4,0,0,0,0,
2014,43,10,Florida,43.3,42.8,37.6,6026802,5951561,13914216,15816663,10.6,95671,227087,4519,227359,
2014,44,11,Georgia,38.6,38.2,33.8,2596947,2567761,6725041,7601982,7.1,50499,471067,25547,339844,
2014,82,12,Hawaii,36.5,36.2,32.9,369554,366125,1012123,1113693,8.6,5721,0,0,5721,
2014,63,13,Idaho,39.8,39.3,36.5,445307,439830,1119882,1205611,4.6,7901,33450,4217,30850,
2014,21,14,Illinois,40.8,40.2,36.6,3680417,3627690,9028752,9922399,8.5,46465,0,0,46465,
2014,22,15,Indiana,28.7,27.8,26.7,1387622,1341814,4829510,5033872,3.5,28638,0,0,28638,
2014,31,16,Iowa,50.3,49.8,47.3,1142284,1129700,2269179,2386733,3.6,8686,29929,5769,31215,
2014,32,17,Kansas,43.3,42.5,39.8,887023,869502,2048164,2184712,5.2,9326,16328,4051,22521,
2014,51,18,Kentucky,44.9,44.2,42.2,1459409,1435868,3247300,3406506,2.7,21402,54107,16729,68431,
2014,45,19,Louisiana,44.9,43.9,41.5,1503975,1472039,3349433,3545845,3,37881,40979,29619,90448,
2014,2,20,Maine,58.7,58.1,57,616996,611255,1051557,1071521,1.9,0,0,0,0,
2014,52,21,Maryland,42,41.7,37.3,1745104,1733177,4154546,4645171,8.9,20388,79539,11537,76467,
